rank,name,division,years_career,stance,total,win,losses,draws,win_perc,nationality,residence
56,Jose Napoles,welter ,17,orthodox ,88,81,7,0,92.0, Mexico,"Ciudad Juarez, Mexico"
57,Pedro Montanez,light ,9,orthodox ,103,91,8,4,88.0, Puerto Rico,"Cayey, Puerto Rico"
58,Jackie Fields,welter ,8,,85,74,9,2,87.0, USA,"Los Angeles, USA"
59,Dariusz Michalczewski,light heavy ,14,orthodox ,50,48,2,0,96.0, Poland,"Gdansk, Poland"
60,Miguel Cotto,welter ,16,,47,41,6,0,87.0, Puerto Rico,"Caguas, Puerto Rico"
61,Gene Tunney,heavy ,13,orthodox ,84,79,1,4,94.0, USA,"Greenwich, USA"
62,John Henry Lewis,light heavy ,10,orthodox ,116,100,11,5,86.0, USA,"Phoenix, USA"
63,Marcel Cerdan,middle ,15,,114,110,4,0,96.0, France,"Paris, France"
64,Eddie Booker,middle ,9,orthodox ,79,66,5,8,84.0, USA,"San Jose, USA"
65,Tony Canzoneri,light ,14,orthodox ,175,141,24,10,81.0, USA,"New York, USA"
66,Ceferino Garcia,middle ,22,orthodox ,164,120,30,14,73.0, USA,"Los Angeles, USA"
67,Joey Maxim,light heavy ,17,orthodox ,116,83,29,4,72.0, USA,"Cleveland, USA"
68,Riddick Bowe,heavy ,19,orthodox ,44,43,1,0,98.0, USA,"Fort Washington, USA"
69,Tami Mauriello,light heavy ,10,orthodox ,96,82,13,1,85.0, USA,"Bronx, USA"
70,Carlos Ortiz,light ,17,orthodox ,69,61,7,1,88.0, USA,"New York, USA"
71,Paul Williams,welter ,12,southpaw ,43,41,2,0,95.0, USA,"Aiken, USA"
72,Mike McCallum,super welter ,16,orthodox ,55,49,5,1,89.0, USA,"New York, USA"
73,Shane Mosley,welter ,23,orthodox ,60,49,10,1,82.0, USA,"Pomona, USA"
74,Harry Matthews,light heavy ,19,orthodox ,103,90,7,6,87.0, USA,"Seattle, USA"
75,Mike Tyson,heavy ,20,orthodox ,56,50,6,0,89.0, USA,"Henderson, USA"
76,Davey Moore,feather ,10,orthodox ,67,59,7,1,88.0, USA,"Springfield, USA"
77,Jimmy Bivins,heavy ,15,orthodox ,112,86,25,1,77.0, USA,"Cleveland, USA"
78,Jake LaMotta,middle ,13,orthodox ,106,83,19,4,78.0, USA,"Bronx, USA"
79,Lloyd Marshall,middle ,15,orthodox ,99,70,25,4,71.0, USA,"Cleveland, USA"
80,Bruno Arcari,super light ,14,southpaw ,73,70,2,1,96.0, Italy,"Genoa, Italy"
81,Freddie Miller,feather ,13,southpaw ,248,211,30,7,85.0, USA,"Cincinnati, USA"
82,Sergio Martinez,middle ,23,southpaw ,57,52,3,2,91.0, Spain,"Madrid, Spain"
83,Nicolino Locche,super light ,18,orthodox ,135,117,4,14,87.0, Argentina,"Buenos Aires, Argentina"
84,Kelly Pavlik,middle ,12,orthodox ,42,40,2,0,95.0, USA,"Youngstown, USA"
85,Tommy Loughran,light heavy ,18,orthodox ,169,124,32,13,73.0, USA,"Philadelphia, USA"
86,Mickey Walker,middle ,16,orthodox ,162,131,25,6,81.0, USA,"Elizabeth, USA"
87,Sandy Saddler,feather ,12,orthodox ,163,145,16,2,89.0, USA,"Boston, USA"
88,Laszlo Papp,middle ,7,southpaw ,29,27,0,2,93.0, Hungary,"Budapest, Hungary"
89,Marco Antonio Barrera,super bantam ,22,orthodox ,74,67,7,0,91.0, Mexico,"Guadalajara, Mexico"
90,Lou Ambers,light ,9,orthodox ,106,91,8,7,86.0, USA,"Herkimer, USA"
91,Evander Holyfield,heavy ,27,orthodox ,56,44,10,2,79.0, USA,"Atlanta, USA"
92,Thomas Hearns,super welter ,29,orthodox ,67,61,5,1,91.0, USA,"Detroit, USA"
93,Michael Nunn,middle ,18,southpaw ,62,58,4,0,94.0, USA,"Davenport, USA"
94,Vicente Saldivar,feather ,12,southpaw ,40,37,3,0,92.0, Mexico,"Mexico City, Mexico"
95,James Toney,middle ,29,orthodox ,90,77,10,3,86.0, USA,"Sherman Oaks, USA"
96,Antonio Margarito,welter ,23,orthodox ,49,41,8,0,84.0, Mexico,"Tijuana, Mexico"
97,Kid Gavilan,welter ,15,orthodox ,143,108,30,5,76.0, Cuba,"Havana, Cuba"
98,Johnny Indrisano,welter ,11,orthodox ,62,50,9,3,81.0, USA,"Boston, USA"
99,Vitali Klitschko,heavy ,16,orthodox ,47,45,2,0,96.0, Ukraine,"Kiev, Ukraine"
100,Naseem Hamed,feather ,10,southpaw ,37,36,1,0,97.0, United Kingdom,"Sheffield, United Kingdom"
101,Max Schmeling,heavy ,24,orthodox ,71,57,10,4,80.0, Germany,"Wenzerdorf, Germany"
102,Floyd Patterson,heavy ,20,orthodox ,64,55,8,1,86.0, USA,"Waco, USA"
103,Pernell Whitaker,light ,17,southpaw ,45,40,4,1,89.0, USA,"Norfolk, USA"
104,Joe Frazier,heavy ,16,orthodox ,37,32,4,1,86.0, USA,"Philadelphia, USA"
105,George Foreman,heavy ,28,orthodox ,81,76,5,0,94.0, USA,"Marshall, USA"
